total_sales,onsale_web,price,stock_quantity,stock_status
10.0,1,25.0,0,instock
6.0,1,24.2,0,outofstock
0.0,1,34.3,0,outofstock
0.0,1,20.8,0,outofstock
3.0,1,14.1,0,outofstock
0.0,1,46.0,0,outofstock
0.0,1,34.3,0,outofstock
0.0,1,32.7,15,instock
7.0,1,31.2,34,instock
3.0,1,60.0,12,instock
14.0,1,42.6,66,instock
6.0,1,80.0,0,outofstock
0.0,1,18.3,36,instock
7.0,1,22.8,22,instock
1.0,1,19.3,46,instock
6.0,1,21.8,0,outofstock
6.0,1,7.7,41,instock
6.0,1,33.7,35,instock
23.0,1,44.3,16,instock
10.0,1,71.6,0,outofstock
10.0,1,12.7,0,outofstock
18.0,1,8.7,112,instock
11.0,1,8.7,267,instock
7.0,1,8.7,36,instock
9.0,1,11.9,73,instock
3.0,1,11.9,60,instock
3.0,1,14.5,10,instock
3.0,1,14.4,27,instock
0.0,1,19.5,35,instock
20.0,1,20.8,65,instock
19.0,1,22.0,31,instock
62.0,1,16.6,157,instock
0.0,1,60.0,0,outofstock
7.0,1,23.4,98,instock
19.0,1,33.2,16,instock
1.0,1,32.0,28,instock
0.0,1,77.8,11,instock
4.0,1,12.7,50,instock
0.0,1,14.7,54,instock
4.0,1,14.05,53,instock
0.0,1,22.9,48,instock
10.0,1,44.0,14,instock
0.0,1,37.0,0,outofstock
4.0,1,39.0,0,outofstock
0.0,1,17.0,0,outofstock
0.0,1,23.2,14,instock
7.0,1,19.0,37,instock
4.0,1,16.4,31,instock
18.0,1,14.4,45,instock
0.0,1,13.7,24,instock
4.0,1,12.6,19,instock
0.0,1,22.8,12,instock
1.0,1,12.8,26,instock
1.0,1,22.1,22,instock
0.0,1,12.8,43,instock
0.0,1,15.8,7,instock
0.0,1,15.8,37,instock
1.0,1,16.3,16,instock
12.0,1,16.3,6,instock
12.0,1,9.7,37,instock
5.0,1,6.8,42,instock
6.0,1,12.6,26,instock
0.0,1,35.0,35,instock
2.0,1,31.7,0,outofstock
0.0,1,100.0,11,instock
0.0,1,23.0,0,outofstock
0.0,1,88.4,5,instock
0.0,1,29.8,0,outofstock
6.0,1,25.7,0,outofstock
0.0,1,77.4,7,instock
40.0,1,39.0,1,instock
30.0,1,53.0,8,instock
87.0,1,49.0,11,instock
0.0,1,29.5,33,instock
3.0,1,33.0,7,instock
0.0,1,37.5,18,instock
0.0,1,69.0,34,instock
1.0,1,59.0,17,instock
12.0,1,13.7,0,outofstock
7.0,1,19.2,57,instock
36.0,1,29.0,0,outofstock
18.0,1,9.8,128,instock
3.0,1,14.5,70,instock
6.0,1,20.35,1,instock
0.0,1,12.0,10,instock
0.0,1,18.5,0,outofstock
3.0,1,9.3,0,outofstock
7.0,1,9.3,0,outofstock
0.0,1,11.6,0,outofstock
1.0,1,14.3,26,instock
3.0,1,10.8,18,instock
20.0,1,7.6,19,instock
3.0,1,12.0,57,instock
6.0,1,20.5,8,instock
3.0,1,14.3,36,instock
12.0,1,18.2,50,instock
4.0,1,9.0,58,instock
1.0,1,7.8,65,instock
43.0,1,5.7,167,instock
13.0,1,5.7,100,instock
6.0,1,5.7,94,instock
9.0,1,13.5,276,instock
0.0,1,13.5,109,instock
17.0,1,11.5,12,instock
7.0,1,24.0,73,instock
0.0,1,24.0,47,instock
9.0,1,11.9,137,instock
3.0,1,16.7,53,instock
0.0,1,21.4,48,instock
1.0,1,16.6,0,outofstock
42.0,1,13.3,90,instock
8.0,1,9.5,99,instock
5.0,1,12.1,0,outofstock
12.0,1,9.3,209,instock
5.0,1,17.8,43,instock
8.0,1,13.5,55,instock
9.0,1,10.8,5,instock
2.0,1,27.2,13,instock
8.0,1,9.4,24,instock
0.0,1,5.8,105,instock
46.0,1,5.8,190,instock
0.0,1,38.0,69,instock
0.0,1,38.0,46,instock
6.0,1,9.9,89,instock
3.0,1,11.3,31,instock
12.0,1,23.0,0,outofstock
5.0,1,6.7,195,instock
16.0,1,7.6,578,instock
0.0,1,79.8,0,outofstock
1.0,1,48.5,0,outofstock
2.0,1,39.8,19,instock
0.0,1,58.8,2,instock
0.0,1,26.5,0,outofstock
1.0,1,13.4,34,instock
0.0,1,17.1,17,instock
1.0,1,16.7,0,outofstock
12.0,1,11.6,66,instock
15.0,1,12.8,83,instock
4.0,1,8.9,66,instock
3.0,1,9.7,180,instock
2.0,1,17.2,13,instock
13.0,1,16.9,20,instock
6.0,1,12.6,49,instock
0.0,1,29.9,8,instock
0.0,1,9.6,26,instock
1.0,1,11.1,0,outofstock
2.0,1,11.1,35,instock
1.0,1,17.1,0,outofstock
0.0,1,28.0,18,instock
0.0,1,28.0,1,instock
1.0,1,8.9,7,instock
14.0,1,8.6,85,instock
5.0,1,13.5,50,instock
1.0,1,8.9,141,instock
7.0,1,15.3,25,instock
12.0,1,14.8,64,instock
30.0,1,19.5,14,instock
8.0,1,14.1,102,instock
0.0,1,59.6,15,instock
0.0,1,26.9,0,outofstock
0.0,1,24.4,0,outofstock
0.0,1,31.7,0,outofstock
5.0,1,32.1,0,outofstock
2.0,1,12.2,22,instock
1.0,1,9.9,89,instock
3.0,1,15.8,35,instock
0.0,1,15.8,50,instock
2.0,1,17.8,48,instock
3.0,1,9.6,21,instock
2.0,1,19.0,21,instock
1.0,1,15.2,55,instock
0.0,1,10.2,1,instock
4.0,1,15.5,31,instock
0.0,1,16.6,56,instock
1.0,1,9.2,25,instock
0.0,1,12.9,0,outofstock
12.0,1,14.9,14,instock
0.0,1,17.6,1,instock
0.0,0,86.1,0,outofstock
0.0,0,73.0,0,outofstock
0.0,0,47.0,0,outofstock
0.0,0,14.1,0,outofstock
0.0,0,73.5,0,outofstock
0.0,0,20.0,0,outofstock
0.0,0,21.5,0,outofstock
0.0,0,10.8,0,outofstock
0.0,0,30.5,3,instock
0.0,0,49.0,1,instock
0.0,0,40.0,3,instock
0.0,1,144.0,0,outofstock
0.0,0,36.9,0,outofstock
0.0,0,23.6,0,outofstock
0.0,0,12.0,48,instock
0.0,0,18.5,0,outofstock
0.0,0,34.5,1,instock
0.0,0,20.5,0,outofstock
0.0,0,23.8,0,outofstock
0.0,0,20.2,0,outofstock
0.0,0,13.5,3,instock
0.0,0,13.8,5,instock
0.0,0,12.7,0,outofstock
